label,DOY,date,time,PA,T_PA,altitude,TA,ch4_dry,CO2_dry,h20,EC_2,SWC_2,TS_2,volume_tot,latitude,longitude,Fch4,Fch4_dCdt,Fch4_r2,Fch4_cv,Fch4_c0,Fch4_cx,Fch4_a,Fch4_t0,Fch4_sei,Fch4_lin,Fch4_lin_dCdt,Fch4_lin_r2,Fch4_lin_cv,Fch4_lin_se,Fch4_lin_ssn,Fco2_c0,Fco2,Fco2_dCdt,Fco2_r2,Fco2_cv,Fco2_cx,Fco2_a,Fco2_t0,Fco2_sei,Fco2_ses,Fco2_lin,Fco2_lin_dCdt,Fco2_lin_r2,Fco2_lin_cv,Fco2_lin_se,type
BIE12_nee,270.52132,2023/09/27,12:30:42,90.96,34.9962,1006.3,24.84235,2006.39,488.33,15.041,0.007,0.11,18.9,32542.42,46.9833,6.7246,-3.05213,-0.17117,0.99894,1.20242,2006.39,0,9e-5,0,0.48823,-3.05213,-0.17117,0.99894,1.20242,5.8e-4,-9999,488.32518,3.31487,0.18591,0.98558,1.70445,1000000,0,0,0.3214,0.00233,3.31487,0.18591,0.98558,1.70445,0.00233,nee
BIE12_nee,305.46834,2023/11/01,11:14:25,89.67,19.2566,1003.2,7.73622,2030.066,486.86,9.971,0.039,0.726,6.47273,32212.42,46.9833,6.7246,1.57081,0.08466,0.99592,1.31954,2030.06591,2095.42892,0.0013,-5.77384,0.03659,1.421,0.07659,0.99563,1.36126,5.3e-4,-9999,486.85686,1.17699,0.06344,0.11133,3.37507,489.9513,0.0205,-41.96483,0.14451,0.00201,0.1196,0.00645,0.09856,31.38205,0.00202,nee
BIE12_nee,173.53605,2023/06/22,12:51:55,90.79,32.93513,1009.7,21.3457,2015.787,516.01,18.204,0.03423,0.48168,20.85455,32212.42,46.9834,6.7246,9.85473,0.5546,0.99921,1.20133,2015.78682,1000000,0,0,1.05137,9.85473,0.5546,0.99921,1.20133,0.00179,-9999,516.00559,11.64142,0.65515,0.99779,1.25131,930.99129,0.00158,-12.94808,0.21833,0.00312,10.25902,0.57735,0.99742,1.29583,0.00337,nee
BIE12_respi,151.51785,2023/05/31,12:25:42,90.52,33.82388,1005.4,23.06875,9198.504,492.51,19.181,0.03445,0.759,25.15455,27922.42,46.9834,6.72459,15.02648,0.98522,0.06105,40.68136,9198.50364,1000000,0,0,2526.35572,15.02648,0.98522,0.06105,40.68136,0.40064,-9999,492.50618,3.13852,0.20578,0.97709,1.96628,1000000,0,0,1.17266,0.00327,3.13852,0.20578,0.97709,1.96628,0.00327,respi
BIE12_respi,173.53334,2023/06/22,12:48:01,90.8,33.33743,1010,21.37677,2016.1,521.39,17.934,0,0,20.9,32212.42,46.9834,6.7246,12.1524,0.68375,0.99483,1.34364,2016.1,2589.89337,0.00119,-3.89744,0.3363,11.105,0.62482,0.9946,1.38671,0.00478,-9999,521.39277,16.52121,0.92956,0.99677,1.26957,1088.16594,0.00164,-3.13796,0.34976,0.00486,14.61711,0.82243,0.99629,1.31858,0.0052,respi
BIE12_respi,206.54816,2023/07/25,13:09:21,89.78,28.03861,1011.3,16.78479,1977.667,481.22,16.905,0.026,0.405,18.6,30892.42,46.9834,6.72459,-3.13475,-0.1829,0.99745,1.28258,1977.66682,0,9e-5,0,0.72968,-3.13475,-0.1829,0.99745,1.28258,9.6e-4,-9999,481.21591,22.33449,1.30315,0.99954,1.18431,936.57395,0.00286,-3.69961,0.16937,0.00235,18.01532,1.05114,0.99805,1.25681,0.00481,respi
BIE12_respi,227.46469,2023/08/15,11:09:09,90.91,37.34285,1007.7,25.36481,1951.355,478.84,22.638,0.008,0.132,23,32212.42,46.9834,6.7246,-3.49202,-0.19985,0.99907,1.19693,1951.35545,0,1e-4,0,0.23656,-3.49202,-0.19985,0.99907,1.19693,6.3e-4,-9999,478.84459,23.79394,1.36173,0.99967,1.16743,1730.80123,0.00109,-3.64084,0.1702,0.00236,21.92156,1.25457,0.99947,1.1791,0.00301,respi
BIE12_respi,249.45142,2023/09/06,10:50:03,91.03,36.07608,1009.2,24.51925,2162.984,511.39,22.908,0.015,0.259,20.7,32212.42,46.9834,6.72458,-3.97634,-0.2267,0.99936,1.18284,2162.98409,0,1e-4,0,1.28236,-3.97634,-0.2267,0.99936,1.18284,5.9e-4,-9999,511.39123,21.53305,1.22763,0.99958,1.16802,1215.55733,0.00174,-11.32073,0.16281,0.00226,18.63798,1.06258,0.99906,1.1963,0.00337,respi
BIE12_respi,270.51644,2023/09/27,12:23:40,90.94,33.09146,1007.5,22.70391,1985.665,497.35,10.492,0.008,0.108,18.8,32542.42,46.9833,6.7246,-3.74101,-0.20739,0.99848,1.22381,1985.66455,0,1e-4,0,1.15997,-3.74101,-0.20739,0.99848,1.22381,8.4e-4,-9999,497.35127,21.30087,1.18084,0.99946,1.17192,1001.32871,0.00234,-10.55579,0.16945,0.00235,17.57791,0.97445,0.99859,1.21867,0.00379,respi
BIE12_respi,305.46591,2023/11/01,11:10:55,89.66,19.16403,1003.6,7.35122,2071.882,489.81,9.971,0.04,0.724,6.4,32212.42,46.9834,6.72459,1.62392,0.08742,0.99374,1.36277,2071.88227,2122.3651,0.00173,-30.75008,0.04341,1.36028,0.07323,0.99321,1.45474,6.3e-4,-9999,489.80877,1.89797,0.10217,0.96539,2.28841,1000000,0,0,0.14444,0.00201,1.89797,0.10217,0.96539,2.28841,0.00201,respi
BIE13_nee,151.45778,2023/05/31,10:59:12,90.52,32.8878,1006,22.77475,2058.91,497.91,14.108,0.02,0.319,21.7,27658.42,46.9851,6.72671,-2.35664,-0.15503,0.96385,1.33877,2058.91045,2051.93564,0.02223,16.03496,0.07466,-0.75328,-0.04955,0.88777,3.86501,0.00183,-9999,497.91468,23.09432,1.51923,0.99686,1.18649,608.65354,0.01372,6.57173,0.27417,0.00381,9.81266,0.64551,0.96878,2.1931,0.01202,nee
BIE13_nee,173.60542,2023/06/22,14:31:48,90.72,32.9125,1009.1,21.95417,1996.137,511.01,23.884,0.009,0.107,21.5,31552.42,46.9851,6.72672,-1.2724,-0.07374,0.99236,1.47237,1996.13727,0,4e-5,0,0.0852,-1.2724,-0.07374,0.99236,1.47237,6.7e-4,-9999,511.007,10.77912,0.62471,0.99834,1.23153,6935.47661,1e-4,-6.28744,0.18879,0.00262,10.69739,0.61997,0.99834,1.23269,0.00262,nee
BIE13_nee,206.45921,2023/07/25,11:01:16,89.79,25.12858,1005,14.75691,1979.502,492.41,16.632,0.013,0.162,17.9,30892.42,46.9851,6.72672,-2.33073,-0.13499,0.9985,1.23805,1979.50227,0,7e-5,0,0.28708,-2.33073,-0.13499,0.9985,1.23805,5.4e-4,-9999,492.40914,24.49064,1.41846,0.99943,1.19217,1496.75938,0.00141,-4.69456,0.22784,0.00316,21.98985,1.27362,0.99908,1.21261,0.00401,nee
BIE13_nee,227.50676,2023/08/15,12:09:44,90.91,37.58979,1010.8,24.553,1959.77,469.61,21.295,0.008,0.127,24.4,30892.42,46.9851,6.72673,-1.56694,-0.09313,0.99565,1.34267,1959.76955,0,5e-5,0,0.24941,-1.56694,-0.09313,0.99565,1.34267,6.4e-4,-9999,469.6105,5.19425,0.3087,0.98953,1.57187,1000000,0,0,2.8557,0.00329,5.19425,0.3087,0.98953,1.57187,0.00329,nee
BIE13_nee,249.47625,2023/09/06,11:25:48,91.03,36.93606,1011,24.82491,2077.095,485.64,22.103,0.007,0.128,25.4,31882.42,46.985,6.72673,-1.04315,-0.0601,0.99308,1.44198,2077.09455,0,3e-5,0,0.28313,-1.04315,-0.0601,0.99308,1.44198,5.2e-4,-9999,485.63882,12.64297,0.72836,0.99851,1.19651,789.54794,0.0024,-24.42618,0.16723,0.00232,10.04912,0.57893,0.99757,1.26188,0.00297,nee
BIE13_nee,270.63934,2023/09/27,15:20:39,90.82,36.23695,1006.1,24.83504,1988.3,478.73,10.493,0.008,0.128,23.5,31882.42,46.9851,6.72672,-1.20456,-0.06874,0.99358,1.4249,1988.29955,0,3e-5,0,0.30981,-1.20456,-0.06874,0.99358,1.4249,5.7e-4,-9999,478.72859,12.92293,0.73748,0.99902,1.19988,16840.29405,5e-5,-10.27047,0.1716,0.00238,12.87508,0.73475,0.99902,1.20022,0.00238,nee
